freq,mag,phase
3.89000e+002,5.15025e+000,-2.51435e+001
3.90000e+002,5.15425e+000,-2.50872e+001
3.91000e+002,5.15823e+000,-2.50312e+001
3.92000e+002,5.16217e+000,-2.49753e+001
3.93000e+002,5.16609e+000,-2.49197e+001
3.94000e+002,5.16999e+000,-2.48644e+001
3.95000e+002,5.17386e+000,-2.48092e+001
3.96000e+002,5.17770e+000,-2.47543e+001
3.97000e+002,5.18152e+000,-2.46996e+001
3.98000e+002,5.18531e+000,-2.46452e+001
3.99000e+002,5.18908e+000,-2.45910e+001
4.00000e+002,5.19282e+000,-2.45370e+001
4.01000e+002,5.19653e+000,-2.44832e+001
4.02000e+002,5.20023e+000,-2.44297e+001
4.03000e+002,5.20389e+000,-2.43763e+001
4.04000e+002,5.20754e+000,-2.43232e+001
4.05000e+002,5.21116e+000,-2.42703e+001
4.06000e+002,5.21475e+000,-2.42176e+001
4.07000e+002,5.21833e+000,-2.41652e+001
4.08000e+002,5.22187e+000,-2.41129e+001
4.09000e+002,5.22540e+000,-2.40609e+001
4.10000e+002,5.22890e+000,-2.40091e+001
4.11000e+002,5.23238e+000,-2.39575e+001
4.12000e+002,5.23584e+000,-2.39061e+001
4.13000e+002,5.23928e+000,-2.38549e+001
4.14000e+002,5.24269e+000,-2.38039e+001
4.15000e+002,5.24608e+000,-2.37532e+001
4.16000e+002,5.24945e+000,-2.37026e+001
4.17000e+002,5.25280e+000,-2.36522e+001
4.18000e+002,5.25613e+000,-2.36021e+001
4.19000e+002,5.25943e+000,-2.35521e+001
4.20000e+002,5.26272e+000,-2.35024e+001
4.21000e+002,5.26598e+000,-2.34528e+001
4.22000e+002,5.26922e+000,-2.34034e+001
4.23000e+002,5.27244e+000,-2.33543e+001
4.24000e+002,5.27564e+000,-2.33053e+001
4.25000e+002,5.27883e+000,-2.32566e+001
4.26000e+002,5.28199e+000,-2.32080e+001
4.27000e+002,5.28513e+000,-2.31596e+001
4.28000e+002,5.28825e+000,-2.31114e+001
4.29000e+002,5.29135e+000,-2.30634e+001
4.30000e+002,5.29443e+000,-2.30156e+001
4.31000e+002,5.29750e+000,-2.29680e+001
4.32000e+002,5.30054e+000,-2.29205e+001
4.33000e+002,5.30357e+000,-2.28733e+001
4.34000e+002,5.30657e+000,-2.28262e+001
4.35000e+002,5.30956e+000,-2.27793e+001
4.36000e+002,5.31253e+000,-2.27327e+001
4.37000e+002,5.31548e+000,-2.26861e+001
4.38000e+002,5.31841e+000,-2.26398e+001
4.39000e+002,5.32133e+000,-2.25937e+001
4.40000e+002,5.32422e+000,-2.25477e+001
4.41000e+002,5.32710e+000,-2.25019e+001
4.42000e+002,5.32996e+000,-2.24563e+001
4.43000e+002,5.33281e+000,-2.24109e+001
4.44000e+002,5.33563e+000,-2.23656e+001
4.45000e+002,5.33844e+000,-2.23205e+001
4.46000e+002,5.34124e+000,-2.22756e+001
4.47000e+002,5.34401e+000,-2.22309e+001
4.48000e+002,5.34677e+000,-2.21863e+001
4.49000e+002,5.34951e+000,-2.21419e+001
4.50000e+002,5.35224e+000,-2.20977e+001
4.51000e+002,5.35495e+000,-2.20536e+001
4.52000e+002,5.35764e+000,-2.20097e+001
4.53000e+002,5.36031e+000,-2.19660e+001
4.54000e+002,5.36297e+000,-2.19224e+001
4.55000e+002,5.36562e+000,-2.18790e+001
4.56000e+002,5.36825e+000,-2.18358e+001
4.57000e+002,5.37086e+000,-2.17928e+001
4.58000e+002,5.37346e+000,-2.17499e+001
4.59000e+002,5.37604e+000,-2.17071e+001
4.60000e+002,5.37861e+000,-2.16645e+001
4.61000e+002,5.38116e+000,-2.16221e+001
4.62000e+002,5.38370e+000,-2.15799e+001
4.63000e+002,5.38622e+000,-2.15378e+001
4.64000e+002,5.38872e+000,-2.14958e+001
4.65000e+002,5.39122e+000,-2.14540e+001
4.66000e+002,5.39369e+000,-2.14124e+001
4.67000e+002,5.39616e+000,-2.13709e+001
4.68000e+002,5.39860e+000,-2.13296e+001
4.69000e+002,5.40104e+000,-2.12885e+001
4.70000e+002,5.40346e+000,-2.12474e+001
4.71000e+002,5.40586e+000,-2.12066e+001
4.72000e+002,5.40826e+000,-2.11659e+001
4.73000e+002,5.41063e+000,-2.11253e+001
4.74000e+002,5.41300e+000,-2.10849e+001
4.75000e+002,5.41535e+000,-2.10447e+001
4.76000e+002,5.41769e+000,-2.10045e+001
4.77000e+002,5.42001e+000,-2.09646e+001
4.78000e+002,5.42232e+000,-2.09248e+001
4.79000e+002,5.42462e+000,-2.08851e+001
4.80000e+002,5.42690e+000,-2.08456e+001
4.81000e+002,5.42917e+000,-2.08062e+001
4.82000e+002,5.43143e+000,-2.07669e+001
4.83000e+002,5.43368e+000,-2.07278e+001
4.84000e+002,5.43591e+000,-2.06889e+001
4.85000e+002,5.43813e+000,-2.06501e+001
4.86000e+002,5.44034e+000,-2.06114e+001
4.87000e+002,5.44253e+000,-2.05729e+001
4.88000e+002,5.44471e+000,-2.05345e+001
4.89000e+002,5.44688e+000,-2.04962e+001
4.90000e+002,5.44904e+000,-2.04581e+001
4.91000e+002,5.45119e+000,-2.04201e+001
4.92000e+002,5.45332e+000,-2.03823e+001
4.93000e+002,5.45544e+000,-2.03446e+001
4.94000e+002,5.45755e+000,-2.03070e+001
4.95000e+002,5.45965e+000,-2.02695e+001
4.96000e+002,5.46174e+000,-2.02322e+001
4.97000e+002,5.46381e+000,-2.01951e+001
4.98000e+002,5.46588e+000,-2.01580e+001
4.99000e+002,5.46793e+000,-2.01211e+001
5.00000e+002,5.46997e+000,-2.00843e+001
5.01000e+002,5.47200e+000,-2.00477e+001
5.02000e+002,5.47402e+000,-2.00112e+001
5.03000e+002,5.47602e+000,-1.99748e+001
5.04000e+002,5.47802e+000,-1.99385e+001
5.05000e+002,5.48001e+000,-1.99024e+001
5.06000e+002,5.48198e+000,-1.98664e+001
5.07000e+002,5.48394e+000,-1.98305e+001
5.08000e+002,5.48590e+000,-1.97947e+001
5.09000e+002,5.48784e+000,-1.97591e+001
5.10000e+002,5.48977e+000,-1.97236e+001
5.11000e+002,5.49169e+000,-1.96882e+001
5.12000e+002,5.49360e+000,-1.96529e+001
5.13000e+002,5.49550e+000,-1.96178e+001
5.14000e+002,5.49739e+000,-1.95828e+001
5.15000e+002,5.49927e+000,-1.95479e+001
5.16000e+002,5.50114e+000,-1.95131e+001
5.17000e+002,5.50300e+000,-1.94785e+001
5.18000e+002,5.50485e+000,-1.94439e+001
5.19000e+002,5.50669e+000,-1.94095e+001
5.20000e+002,5.50852e+000,-1.93752e+001
5.21000e+002,5.51034e+000,-1.93410e+001
5.22000e+002,5.51216e+000,-1.93070e+001
5.23000e+002,5.51396e+000,-1.92730e+001
5.24000e+002,5.51575e+000,-1.92392e+001
5.25000e+002,5.51753e+000,-1.92055e+001
5.26000e+002,5.51930e+000,-1.91719e+001
5.27000e+002,5.52107e+000,-1.91384e+001
5.28000e+002,5.52282e+000,-1.91050e+001
5.29000e+002,5.52456e+000,-1.90718e+001
5.30000e+002,5.52630e+000,-1.90386e+001
5.31000e+002,5.52803e+000,-1.90056e+001
5.32000e+002,5.52974e+000,-1.89727e+001
5.33000e+002,5.53145e+000,-1.89399e+001
5.34000e+002,5.53315e+000,-1.89072e+001
5.35000e+002,5.53484e+000,-1.88746e+001
5.36000e+002,5.53652e+000,-1.88421e+001
5.37000e+002,5.53820e+000,-1.88097e+001
5.38000e+002,5.53986e+000,-1.87775e+001
5.39000e+002,5.54152e+000,-1.87453e+001
5.40000e+002,5.54317e+000,-1.87132e+001
5.41000e+002,5.54480e+000,-1.86813e+001
5.42000e+002,5.54643e+000,-1.86495e+001
5.43000e+002,5.54806e+000,-1.86177e+001
5.44000e+002,5.54967e+000,-1.85861e+001
5.45000e+002,5.55128e+000,-1.85546e+001
5.46000e+002,5.55287e+000,-1.85232e+001
5.47000e+002,5.55446e+000,-1.84919e+001
5.48000e+002,5.55604e+000,-1.84607e+001
5.49000e+002,5.55761e+000,-1.84296e+001
5.50000e+002,5.55918e+000,-1.83986e+001
5.51000e+002,5.56074e+000,-1.83677e+001
5.52000e+002,5.56229e+000,-1.83369e+001
5.53000e+002,5.56383e+000,-1.83062e+001
